日付,時刻,教材,カテゴリ,活動,概要,入力方法
2026.12.23,13:26:40,SST ソーシャルスキルトレーニング,自立活動,ロールプレイ,SSTの活動に取り組みました（rp）,
2026.09.01,20:00:00,はんばいかい レジ,学習アプリ,おかいもの,3点購入。合計650円,
2026.09.01,19:00:00,じゃんけん まなぼう！,認知支援,かちのは どれ？,3問中2問正解。1問で間違いがありました,
2026.09.01,18:00:00,とけい,学習アプリ,クイズ,5問中4問正解,
2026.09.01,17:00:00,マッチング,認知支援,マッチング（ひとり）,6ペアを14手で完成,
2026.09.01,16:00:00,しりとりあそび,学習アプリ,クイズ,8問中7問正解。8語つながりました,
2026.09.01,15:00:00,ほうこうとばしょをまなぼう,学習アプリ,クイズ,「みぎに すすんで」に正解,
2026.09.01,14:20:00,すうじ まなぼう！,学習アプリ,なぞり,「3」をなぞる練習をしました,
2026.09.01,14:10:00,カタカナ まなぼう！,学習アプリ,クイズ,「ア」の問題に正解,
2026.09.01,14:00:00,ひらがな まなぼう！,学習アプリ,なぞり,「あ」をなぞる練習をしました,
2026.09.01,13:00:00,どこかな？みーつけた！,認知支援,レベル2,めあての場所をみつけました,gaze
2026.09.01,12:00:00,じゅんばんにみよう,認知支援,レベル1,じゅんばんの活動に取り組みました（2/4）,switch
2026.09.01,11:00:00,おおきい？ちいさい？くらべよう,学習アプリ,おおきさ くらべ,正解,
2026.09.01,10:00:00,かたちをあわせよう,学習アプリ,かたち,正解,
2026.09.01,09:00:00,どっちがいい？,認知支援,好みの選択,「りんご」を選びました,gaze
2026.09.01,08:00:00,みるとひろがる,認知支援,レベル1,「ひかる おもちゃ」に取り組みました,switch
2026.09.01,07:00:00,おかねのおべんきょう,学習アプリ,おかいもの,￥650のおかいもの（おつり ￥350）,
2026.09.01,05:00:00,なぞり書き練習ツール,学習アプリ,続けて書く,なぞり書きに取り組みました（4/5文字）,
2026.09.01,04:00:00,ぼうさいたんけんたい,学習アプリ,クイズ,ぼうさいクイズに取り組みました（4/5問正解）,
2026.08.31,21:00:00,もぐらたたき,自立活動,じかんモード,スコア120点（正解率80%）,
